[lighthouse_ros-1] [INFO] [1727466691.456135761] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466691.458803387] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466691.462048801] [lighthouse_ros]: Angles: [2.1053147848874243, 0.010919682494229255]
[lighthouse_ros-1] [INFO] [1727466691.465055829] [lighthouse_ros]: Angles: [2.1053147848874243, 0.010919682494229255]
[lighthouse_ros-1] [INFO] [1727466691.467450256] [lighthouse_ros]: Angles: [2.1053147848874243, 0.010919682494229255]
[lighthouse_ros-1] [INFO] [1727466691.469846571] [lighthouse_ros]: Angles: [2.1053147848874243, 0.010919682494229255]
[lighthouse_ros-1] [INFO] [1727466691.481072011] [lighthouse_ros]: Angles: [2.1053803029823897, 0.01098520058919461]
[lighthouse_ros-1] [INFO] [1727466691.485019007] [lighthouse_ros]: Angles: [2.1053803029823897, 0.01098520058919461]
[lighthouse_ros-1] [INFO] [1727466691.489209924] [lighthouse_ros]: Angles: [2.1053803029823897, 0.01098520058919461]
[lighthouse_ros-1] [INFO] [1727466691.492693705] [lighthouse_ros]: Angles: [2.1053803029823897, 0.01098520058919461]
[lighthouse_ros-1] [INFO] [1727466691.495701066] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466691.498248842] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466691.501657957] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466691.503975811] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466691.506842619] [lighthouse_ros]: Angles: [2.105393406601383, 0.010998304208188037]
[lighthouse_ros-1] [INFO] [1727466691.509450598] [lighthouse_ros]: Angles: [2.105393406601383, 0.010998304208188037]
[lighthouse_ros-1] [INFO] [1727466691.511990818] [lighthouse_ros]: Angles: [2.105393406601383, 0.010998304208188037]
[lighthouse_ros-1] [INFO] [1727466691.514412004] [lighthouse_ros]: Angles: [2.105393406601383, 0.010998304208188037]
